order_id,order_date,customer_age,product_category,order_value,discount_applied,payment_method,delivery_time_days,customer_rating,order_status
1,2024-02-22,60,Electronics,6455.58,Yes,Card,6,1.6,Returned
2,2024-12-03,64,Books,22530.0,No,Card,9,2.0,Cancelled
3,2024-06-21,63,Sports,9673.54,Yes,Wallet,3,4.4,Cancelled
4,2024-10-19,31,Home & Kitchen,20141.05,No,COD,5,3.7,Delivered
5,2024-08-04,23,Electronics,9275.31,No,Wallet,5,2.1,Returned
6,2024-06-23,52,Books,21043.03,Yes,UPI,4,1.7,Returned
7,2024-05-18,52,Beauty,19170.1,No,COD,4,3.6,Returned
8,2024-07-06,43,Home & Kitchen,21052.25,No,COD,8,3.7,Delivered
9,2024-08-15,30,Books,16145.88,No,UPI,3,4.5,Returned
10,2024-01-23,37,Beauty,2345.6,Yes,COD,8,2.2,Returned
11,2024-01-09,34,Fashion,18051.97,No,Card,6,1.8,Returned
12,2024-12-01,21,Electronics,8929.06,No,COD,10,4.9,Cancelled
13,2024-01-12,51,Fashion,15042.11,No,Card,10,2.6,Delivered
14,2024-05-16,35,Beauty,7381.86,Yes,Wallet,5,2.3,Returned
15,2024-06-10,47,Books,13843.9,No,UPI,5,2.2,Cancelled
16,2024-05-05,30,Books,490.52,Yes,UPI,10,1.6,Delivered
17,2024-09-04,32,Electronics,6940.29,No,Card,7,4.5,Returned
18,2024-02-23,57,Electronics,12438.89,Yes,UPI,3,4.1,Cancelled
19,2024-01-18,44,Electronics,3886.73,No,Card,9,1.8,Cancelled
20,2024-04-16,58,Sports,6647.04,Yes,COD,10,3.7,Cancelled
21,2024-09-13,54,Sports,4254.06,No,Wallet,8,2.4,Delivered
22,2024-01-31,63,Books,15495.75,No,COD,6,3.9,Returned
23,2024-12-29,41,Fashion,11500.79,No,Wallet,3,4.6,Cancelled
24,2024-06-29,39,Sports,15277.06,No,UPI,9,3.4,Delivered
25,2024-10-02,24,Electronics,1950.72,Yes,Wallet,1,1.8,Cancelled
26,2024-09-27,55,Books,17008.82,No,Wallet,10,4.9,Returned
27,2024-09-02,40,Sports,11174.16,No,Wallet,1,4.4,Returned
28,2024-05-18,53,Sports,8731.61,Yes,COD,3,4.8,Returned
29,2024-01-12,60,Books,22822.87,Yes,Wallet,6,3.2,Cancelled
30,2024-05-02,41,Fashion,19398.43,Yes,UPI,10,5.0,Returned
31,2024-10-27,29,Electronics,6141.3,Yes,Wallet,1,5.0,Returned
32,2024-09-27,61,Books,22570.69,Yes,Wallet,4,1.4,Returned
33,2024-10-13,25,Fashion,12910.71,No,Wallet,5,2.6,Delivered
34,2024-12-27,33,Sports,18263.91,Yes,UPI,6,2.7,Returned
35,2024-05-13,47,Home & Kitchen,23192.56,No,Wallet,6,3.9,Returned
36,2024-06-21,63,Electronics,10097.61,No,UPI,7,4.3,Delivered
37,2024-01-08,55,Books,1844.26,No,Card,10,1.9,Delivered
38,2024-03-15,43,Sports,10508.86,Yes,UPI,6,5.0,Cancelled
39,2024-03-01,55,Fashion,6995.4,No,Card,6,2.9,Cancelled
40,2024-06-30,39,Electronics,9658.0,Yes,UPI,6,1.2,Returned
41,2024-09-02,27,Beauty,4570.88,Yes,Wallet,9,4.5,Cancelled
42,2024-09-25,41,Sports,17575.03,Yes,Wallet,1,4.5,Cancelled
43,2024-05-29,37,Books,5318.37,Yes,Wallet,8,4.7,Delivered
44,2024-04-22,38,Sports,18294.85,No,COD,2,1.9,Cancelled
45,2024-03-29,62,Beauty,18931.27,No,Wallet,8,4.0,Delivered
46,2024-09-29,35,Beauty,16224.63,Yes,Wallet,2,4.1,Delivered
47,2024-05-21,55,Books,1303.74,Yes,Card,1,4.5,Returned
48,2024-11-01,43,Electronics,10939.21,Yes,COD,5,2.6,Cancelled
